0,1,2,3,4,5,6,7,8
8.0,1.0,0.4,0.32,0.11,353.0,0.1405,0.0985,0.1
11.0,0.0,0.57,0.48,175.0,1185.0,474.0,261.0,0.38
13.0,1.0,605.0,0.45,195.0,1098.0,481.0,0.2895,315.0
15.0,1.0,0.6,475.0,0.15,1.0075,0.4425,221.0,0.28
9.0,0.0,595.0,475.0,0.14,944.0,0.3625,189.0,315.0
11.0,1.0,555.0,425.0,0.14,788.0,282.0,0.1595,285.0
14.0,1.0,615.0,475.0,0.17,1.1025,0.4695,0.2355,345.0
9.0,1.0,575.0,445.0,0.14,941.0,0.3845,252.0,285.0
12.0,0.0,0.62,0.51,175.0,1615.0,0.5105,192.0,675.0
21.0,0.0,595.0,475.0,0.16,1.3175,408.0,234.0,0.58
14.0,0.0,0.58,0.45,0.14,1013.0,0.38,216.0,0.36
12.0,1.0,0.57,465.0,0.18,1295.0,339.0,0.2225,0.44
13.0,0.0,625.0,465.0,0.14,1195.0,0.4825,205.0,0.4
10.0,0.0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
9.0,1.0,0.46,355.0,0.13,517.0,0.2205,114.0,165.0
12.0,1.0,575.0,0.45,0.16,0.9775,0.3135,231.0,0.33
15.0,0.0,565.0,425.0,135.0,0.8115,341.0,0.1675,255.0
12.0,0.0,555.0,0.44,0.15,755.0,307.0,0.1525,0.26
13.0,0.0,595.0,465.0,175.0,1115.0,0.4015,254.0,0.39
10.0,1.0,625.0,495.0,165.0,1262.0,507.0,318.0,0.39
15.0,0.0,695.0,0.56,0.19,1494.0,588.0,0.3425,485.0
14.0,0.0,665.0,535.0,195.0,1606.0,0.5755,388.0,0.48
9.0,0.0,535.0,435.0,0.15,725.0,269.0,0.1385,0.25
8.0,0.0,0.47,375.0,0.13,523.0,214.0,132.0,145.0
7.0,0.0,0.47,0.37,0.13,0.5225,201.0,133.0,165.0
7.0,2.0,0.36,265.0,95.0,0.2315,105.0,46.0,75.0
15.0,0.0,0.55,435.0,145.0,843.0,328.0,0.1915,255.0
15.0,0.0,0.53,435.0,0.16,883.0,316.0,164.0,335.0
10.0,0.0,0.53,415.0,0.14,724.0,0.3105,0.1675,205.0
12.0,0.0,605.0,0.47,0.16,1.1735,0.4975,0.2405,345.0
12.0,1.0,0.52,0.41,155.0,727.0,291.0,0.1835,235.0
11.0,1.0,545.0,0.43,165.0,802.0,0.2935,183.0,0.28
10.0,1.0,0.5,0.4,125.0,0.6675,261.0,0.1315,0.22
9.0,1.0,0.51,0.39,135.0,0.6335,231.0,179.0,0.2
9.0,1.0,435.0,395.0,105.0,0.3635,136.0,98.0,0.13
9.0,0.0,495.0,395.0,125.0,0.5415,0.2375,0.1345,155.0
9.0,0.0,465.0,0.36,105.0,431.0,172.0,107.0,175.0
9.0,0.0,425.0,0.35,105.0,393.0,0.13,63.0,165.0
11.0,1.0,545.0,0.41,125.0,0.6935,0.2975,146.0,0.21
11.0,1.0,0.53,415.0,115.0,0.5915,233.0,0.1585,0.18
11.0,1.0,0.49,375.0,135.0,0.6125,0.2555,102.0,0.22
10.0,0.0,0.44,0.34,105.0,402.0,0.1305,0.0955,165.0
9.0,1.0,0.56,0.43,0.15,0.8825,0.3465,172.0,0.31
8.0,0.0,405.0,305.0,85.0,0.2605,0.1145,0.0595,85.0
9.0,1.0,0.47,365.0,105.0,0.4205,163.0,0.1035,0.14
7.0,2.0,385.0,295.0,85.0,0.2535,103.0,0.0575,85.0
14.0,1.0,515.0,425.0,0.14,766.0,304.0,0.1725,255.0
6.0,0.0,0.37,265.0,75.0,214.0,0.09,51.0,0.07
6.0,2.0,0.36,0.28,0.08,0.1755,81.0,0.0505,0.07
5.0,2.0,0.27,195.0,0.06,73.0,0.0285,0.0235,0.03
6.0,2.0,375.0,275.0,0.09,238.0,0.1075,0.0545,0.07
19.0,0.0,0.7,535.0,0.16,1.7255,0.63,0.2635,0.54
18.0,0.0,0.71,0.54,165.0,1959.0,0.7665,261.0,0.78
17.0,0.0,595.0,0.48,165.0,1262.0,0.4835,283.0,0.41
9.0,1.0,0.44,0.35,125.0,0.4035,175.0,63.0,129.0
7.0,1.0,325.0,0.26,0.09,0.1915,85.0,36.0,62.0
7.0,2.0,0.35,0.26,95.0,211.0,86.0,56.0,68.0
7.0,2.0,265.0,0.2,65.0,0.0975,0.04,0.0205,28.0
8.0,1.0,425.0,0.33,115.0,406.0,0.1635,81.0,0.1355
7.0,1.0,305.0,0.23,0.08,156.0,0.0675,0.0345,48.0
9.0,0.0,345.0,255.0,0.09,0.2005,94.0,0.0295,63.0
9.0,1.0,405.0,325.0,0.11,0.3555,151.0,63.0,117.0
10.0,1.0,565.0,445.0,155.0,826.0,341.0,0.2055,0.2475
10.0,1.0,0.55,0.45,145.0,741.0,295.0,0.1435,0.2665
16.0,0.0,0.65,0.52,0.19,1.3445,519.0,306.0,0.4465
11.0,0.0,0.56,455.0,155.0,797.0,0.34,0.19,0.2425
10.0,0.0,475.0,375.0,0.13,0.5175,0.2075,0.1165,0.17
10.0,1.0,0.49,0.38,125.0,549.0,245.0,0.1075,174.0
10.0,0.0,0.46,0.35,0.12,515.0,224.0,108.0,0.1565
9.0,2.0,0.28,205.0,0.08,127.0,52.0,39.0,42.0
5.0,2.0,175.0,0.13,55.0,0.0315,0.0105,0.0065,0.0125
4.0,2.0,0.17,0.13,95.0,0.03,13.0,8.0,0.01
9.0,1.0,605.0,0.5,185.0,1.1185,469.0,0.2585,335.0
12.0,1.0,565.0,0.45,135.0,0.9885,387.0,0.1495,0.31
10.0,0.0,515.0,405.0,0.13,722.0,0.32,131.0,0.21
13.0,1.0,575.0,0.46,0.19,994.0,392.0,0.2425,0.34
16.0,0.0,645.0,485.0,215.0,1514.0,546.0,0.2615,635.0
13.0,1.0,0.58,455.0,0.17,0.9075,374.0,0.2135,285.0
13.0,1.0,575.0,0.46,165.0,1124.0,0.2985,0.1785,0.44
13.0,0.0,605.0,465.0,165.0,1056.0,0.4215,0.2475,0.34
13.0,1.0,605.0,485.0,0.16,1222.0,0.53,0.2575,0.28
12.0,0.0,0.61,485.0,175.0,1.2445,544.0,297.0,345.0
18.0,1.0,725.0,0.56,0.21,2141.0,0.65,398.0,1005.0
16.0,1.0,0.65,545.0,0.23,1752.0,0.5605,0.2895,815.0
14.0,0.0,725.0,0.57,0.19,2.55,1.0705,483.0,725.0
20.0,1.0,0.68,0.57,205.0,1842.0,625.0,408.0,0.65
14.0,0.0,705.0,0.56,0.22,1981.0,0.8175,0.3085,0.76
12.0,1.0,0.68,515.0,175.0,1.6185,0.5125,409.0,0.62
14.0,0.0,695.0,0.55,215.0,1.9565,0.7125,541.0,0.59
7.0,1.0,0.53,395.0,145.0,775.0,308.0,169.0,255.0
8.0,0.0,525.0,435.0,155.0,1065.0,486.0,233.0,285.0
8.0,1.0,0.52,405.0,115.0,776.0,0.32,0.1845,0.22
5.0,2.0,315.0,0.21,0.06,125.0,0.06,0.0375,35.0
8.0,2.0,315.0,245.0,85.0,0.1435,53.0,0.0475,0.05
4.0,2.0,225.0,0.16,45.0,0.0465,25.0,15.0,15.0
11.0,0.0,0.58,475.0,0.15,0.97,385.0,0.2165,0.35
14.0,0.0,0.57,0.48,0.18,0.9395,399.0,0.2,295.0
21.0,0.0,0.64,0.51,175.0,1368.0,515.0,266.0,0.57
10.0,1.0,0.56,0.45,0.16,1.0235,429.0,268.0,0.3
10.0,1.0,0.62,475.0,175.0,1.0165,0.4355,214.0,325.0
12.0,1.0,645.0,0.51,0.2,1.5675,621.0,367.0,0.46
13.0,0.0,0.62,0.49,0.19,1218.0,0.5455,0.2965,355.0
12.0,1.0,0.63,0.48,0.15,1.0525,392.0,336.0,285.0
10.0,1.0,0.63,0.5,185.0,1383.0,0.54,0.3315,0.38
11.0,1.0,0.63,0.48,0.16,1199.0,0.5265,335.0,315.0
9.0,1.0,585.0,0.46,0.17,0.9325,365.0,271.0,0.29
13.0,0.0,615.0,0.48,0.18,1.1595,0.4845,0.2165,325.0
12.0,0.0,0.61,485.0,0.17,1.0225,419.0,0.2405,0.36
14.0,0.0,0.58,0.45,0.15,927.0,276.0,0.1815,0.36
8.0,2.0,355.0,275.0,85.0,0.22,92.0,0.06,0.15
10.0,1.0,0.51,0.4,0.14,0.8145,459.0,0.1965,195.0
12.0,0.0,0.5,405.0,155.0,772.0,346.0,0.1535,245.0
11.0,1.0,505.0,0.41,0.15,644.0,285.0,145.0,0.21
16.0,0.0,0.64,0.5,185.0,1.3035,0.4445,0.2635,465.0
15.0,0.0,0.56,0.45,0.16,922.0,432.0,178.0,0.26
10.0,0.0,585.0,0.46,185.0,922.0,0.3635,213.0,285.0
9.0,1.0,0.45,345.0,0.12,0.4165,0.1655,95.0,135.0
12.0,1.0,0.5,0.4,145.0,0.63,234.0,0.1465,0.23
13.0,1.0,0.53,435.0,0.17,0.8155,0.2985,155.0,275.0
8.0,0.0,0.42,335.0,115.0,369.0,171.0,71.0,0.12
9.0,2.0,0.4,0.3,0.11,315.0,109.0,67.0,0.12
13.0,1.0,525.0,415.0,0.17,0.8325,0.2755,0.1685,0.31
7.0,2.0,0.37,0.28,95.0,0.2655,122.0,52.0,0.08
10.0,1.0,0.49,365.0,145.0,0.6345,0.1995,0.1625,0.22
7.0,0.0,335.0,0.25,0.09,181.0,0.0755,0.0415,0.06
12.0,1.0,415.0,325.0,105.0,0.38,0.1595,0.0785,0.12
9.0,0.0,0.5,405.0,0.14,0.6155,241.0,0.1355,205.0
10.0,0.0,0.55,405.0,0.14,0.8025,244.0,0.1635,255.0
8.0,0.0,0.45,0.35,0.13,0.46,174.0,111.0,135.0
7.0,2.0,405.0,0.3,0.12,324.0,0.1265,0.07,0.11
8.0,1.0,415.0,305.0,0.13,0.32,0.1305,0.0755,105.0
9.0,1.0,445.0,325.0,125.0,455.0,0.1785,0.1125,0.14
11.0,1.0,0.47,0.35,145.0,0.5175,187.0,0.1235,0.18
9.0,1.0,0.49,375.0,0.15,0.5755,0.22,144.0,0.19
11.0,1.0,445.0,355.0,0.15,485.0,181.0,125.0,155.0
10.0,2.0,425.0,0.38,105.0,0.3265,0.1285,0.0785,0.1
9.0,1.0,0.5,0.37,135.0,0.45,0.1715,0.1055,155.0
7.0,1.0,0.39,0.29,125.0,0.3055,121.0,82.0,0.09
7.0,2.0,365.0,0.27,85.0,205.0,78.0,0.0485,0.07
11.0,1.0,0.58,465.0,165.0,1.1015,404.0,0.2095,0.35
15.0,1.0,0.53,415.0,0.16,783.0,0.2935,158.0,245.0
13.0,0.0,555.0,445.0,135.0,836.0,336.0,0.1625,275.0
14.0,0.0,565.0,0.44,175.0,0.9025,0.31,193.0,325.0
22.0,0.0,625.0,505.0,215.0,1.4455,496.0,287.0,435.0
7.0,2.0,275.0,215.0,75.0,0.1155,0.0485,29.0,35.0
12.0,2.0,0.44,0.35,135.0,435.0,0.1815,83.0,125.0
9.0,2.0,295.0,225.0,0.08,124.0,0.0485,32.0,0.04
1.0,2.0,75.0,55.0,0.01,2.0,1.0,0.0005,0.0015
3.0,2.0,0.13,0.1,0.03,13.0,0.0045,3.0,4.0
3.0,2.0,0.11,0.09,0.03,8.0,0.0025,2.0,3.0
5.0,2.0,0.16,0.12,35.0,21.0,0.0075,0.0045,5.0
17.0,0.0,565.0,425.0,0.16,0.9425,0.3495,0.2185,275.0
5.0,2.0,0.27,0.2,0.07,0.1,34.0,0.0245,35.0
5.0,2.0,0.23,175.0,65.0,0.0645,26.0,0.0105,0.02
8.0,2.0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04
8.0,2.0,0.33,255.0,85.0,0.1655,63.0,39.0,0.06
10.0,2.0,0.35,0.26,85.0,174.0,0.0705,0.0345,0.06
13.0,2.0,0.32,245.0,0.08,0.1585,0.0635,0.0325,0.05
9.0,2.0,0.36,275.0,85.0,0.1975,0.0745,0.0415,0.07
7.0,2.0,305.0,245.0,75.0,156.0,0.0675,38.0,45.0
7.0,2.0,345.0,0.27,0.11,0.2135,82.0,0.0545,0.07
7.0,2.0,0.33,0.25,105.0,0.1715,0.0655,35.0,0.06
13.0,0.0,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36
12.0,1.0,595.0,455.0,155.0,1.0605,0.5135,0.2165,0.3
15.0,1.0,575.0,0.46,185.0,1094.0,0.4485,217.0,345.0
15.0,0.0,0.6,495.0,165.0,1.2415,485.0,0.2775,0.34
15.0,0.0,0.56,0.45,175.0,1011.0,0.3835,0.2065,0.37
19.0,0.0,0.56,0.45,185.0,1.07,0.3805,175.0,0.41
10.0,0.0,545.0,0.46,0.16,0.8975,341.0,0.1655,345.0
15.0,1.0,635.0,505.0,0.17,1415.0,605.0,297.0,365.0
13.0,1.0,0.59,475.0,0.16,1.1015,0.4775,0.2555,295.0
11.0,1.0,0.54,475.0,155.0,928.0,394.0,194.0,0.26
12.0,1.0,0.57,0.44,125.0,865.0,0.3675,0.1725,0.27
11.0,0.0,0.53,0.42,165.0,0.8945,319.0,239.0,245.0
4.0,2.0,245.0,195.0,0.06,95.0,0.0445,0.0245,26.0
6.0,0.0,0.27,0.2,0.08,0.1205,0.0465,28.0,0.04
11.0,1.0,0.46,0.38,0.13,639.0,0.3,0.1525,0.16
14.0,0.0,0.52,0.45,0.15,895.0,0.3615,186.0,235.0
8.0,0.0,0.35,275.0,0.11,0.2925,0.1225,0.0635,0.0905
9.0,0.0,0.47,0.39,0.15,0.6355,0.2185,0.0885,255.0
13.0,1.0,0.45,0.36,125.0,0.4995,0.2035,0.1,0.17
22.0,1.0,0.64,525.0,215.0,1779.0,0.4535,0.2855,0.55
14.0,0.0,0.62,485.0,205.0,1219.0,0.3875,0.2505,385.0
15.0,0.0,0.63,505.0,225.0,1525.0,0.56,0.3335,0.45
22.0,0.0,655.0,0.54,215.0,1844.0,0.7425,327.0,585.0
12.0,1.0,0.66,0.53,185.0,1.3485,493.0,245.0,0.49
18.0,0.0,0.61,0.5,0.24,1642.0,532.0,0.3345,0.69
20.0,0.0,635.0,525.0,205.0,1484.0,0.55,0.3115,0.43
11.0,1.0,515.0,425.0,135.0,712.0,0.2665,0.1605,0.25
15.0,1.0,535.0,415.0,185.0,0.8415,314.0,0.1585,0.3
7.0,2.0,0.36,285.0,105.0,0.2415,0.0915,57.0,75.0
9.0,1.0,455.0,355.0,0.12,0.4495,177.0,104.0,0.15
14.0,0.0,515.0,0.38,175.0,0.9565,325.0,158.0,0.31
10.0,1.0,535.0,415.0,0.17,879.0,295.0,0.1965,285.0
10.0,0.0,0.53,435.0,155.0,699.0,288.0,0.1595,205.0
17.0,1.0,495.0,0.4,155.0,0.6445,242.0,0.1325,205.0
9.0,0.0,0.44,355.0,125.0,0.4775,132.0,0.0815,0.19
10.0,1.0,535.0,435.0,0.16,0.8105,0.3155,0.1795,0.24
17.0,0.0,0.54,435.0,0.18,996.0,0.3835,226.0,325.0
12.0,1.0,565.0,505.0,0.21,1.2765,501.0,279.0,355.0
15.0,0.0,0.61,475.0,165.0,1116.0,428.0,0.2205,315.0
19.0,1.0,565.0,455.0,175.0,1013.0,342.0,207.0,0.35
6.0,2.0,295.0,215.0,85.0,128.0,49.0,34.0,0.04
6.0,2.0,275.0,205.0,75.0,0.1105,45.0,0.0285,35.0
4.0,2.0,0.28,0.21,85.0,0.1065,39.0,0.0295,0.03
11.0,0.0,0.49,395.0,0.14,549.0,0.2215,0.1275,0.15
9.0,0.0,0.37,0.28,105.0,234.0,0.0905,0.0585,75.0
13.0,1.0,0.54,435.0,175.0,892.0,322.0,174.0,335.0
8.0,0.0,0.37,0.28,0.1,252.0,0.1065,0.0595,74.0
6.0,0.0,0.36,0.27,0.1,217.0,0.0885,0.0495,0.0715
10.0,1.0,0.47,0.36,0.13,472.0,182.0,114.0,0.15
3.0,2.0,165.0,0.12,0.03,0.0215,7.0,5.0,5.0
13.0,0.0,645.0,515.0,0.24,1.5415,471.0,369.0,535.0
14.0,0.0,0.55,0.41,125.0,0.7605,0.2505,0.1635,195.0
21.0,1.0,0.63,485.0,0.19,1.2435,0.4635,0.3055,0.39
14.0,0.0,0.56,0.44,0.14,971.0,443.0,0.2045,265.0
23.0,1.0,0.62,0.47,0.2,1.2255,381.0,0.27,435.0
23.0,0.0,0.63,485.0,175.0,1.3,0.4335,0.2945,0.46
8.0,2.0,0.45,355.0,0.11,0.4585,194.0,67.0,0.14
14.0,1.0,635.0,535.0,0.19,1242.0,576.0,0.2475,0.39
10.0,0.0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12
18.0,1.0,0.58,455.0,155.0,0.8365,315.0,0.1385,0.32
6.0,2.0,0.33,255.0,95.0,172.0,66.0,0.0255,0.06
5.0,2.0,265.0,0.21,0.06,0.0965,0.0425,22.0,0.03
4.0,2.0,0.19,145.0,0.04,38.0,0.0165,0.0065,15.0
11.0,0.0,385.0,0.31,0.1,0.2845,0.1065,75.0,0.1
5.0,2.0,265.0,205.0,0.07,0.1055,39.0,41.0,35.0
7.0,0.0,335.0,265.0,105.0,222.0,0.0935,56.0,75.0
7.0,2.0,355.0,275.0,0.09,251.0,97.0,53.0,0.08
7.0,2.0,0.32,255.0,0.1,0.1755,73.0,0.0415,65.0
12.0,0.0,0.51,0.4,0.13,0.6435,0.27,0.1665,205.0
8.0,0.0,0.36,295.0,105.0,241.0,0.0865,53.0,95.0
8.0,2.0,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09
8.0,1.0,0.4,325.0,0.12,0.3185,134.0,0.0565,95.0
5.0,2.0,0.3,0.22,0.08,121.0,0.0475,42.0,35.0
5.0,2.0,235.0,175.0,0.04,0.0705,0.0335,15.0,0.02
16.0,1.0,0.74,0.6,195.0,1974.0,598.0,0.4085,0.71
11.0,0.0,0.62,465.0,0.19,1.3415,0.5705,0.3175,355.0
14.0,0.0,0.6,475.0,0.19,1.0875,403.0,0.2655,325.0
13.0,0.0,0.62,475.0,185.0,1325.0,0.6045,325.0,0.33
15.0,1.0,565.0,0.45,195.0,1.0035,406.0,0.2505,285.0
14.0,0.0,575.0,455.0,145.0,1165.0,581.0,0.2275,0.3
12.0,0.0,0.62,465.0,185.0,1274.0,579.0,0.3065,0.32
12.0,1.0,505.0,375.0,0.18,568.0,0.2325,0.1495,0.17
8.0,1.0,0.46,425.0,155.0,746.0,0.3005,152.0,0.24
13.0,0.0,0.49,0.39,0.14,707.0,0.2795,0.2185,0.18
9.0,1.0,525.0,0.42,0.16,756.0,0.2745,173.0,275.0
6.0,2.0,0.34,0.26,0.08,0.2,0.08,0.0555,55.0
8.0,2.0,375.0,305.0,115.0,0.2715,92.0,74.0,0.09
14.0,0.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
8.0,1.0,0.61,495.0,185.0,1153.0,536.0,0.2905,245.0
22.0,1.0,585.0,0.45,0.17,0.8685,0.3325,0.1635,0.27
12.0,0.0,0.57,0.46,0.14,0.9535,0.4465,0.2065,245.0
9.0,0.0,0.58,455.0,0.17,0.93,408.0,259.0,0.22
16.0,0.0,635.0,515.0,0.17,1275.0,509.0,286.0,0.34
20.0,0.0,0.7,0.58,205.0,2.13,0.7415,0.49,0.58
13.0,0.0,675.0,525.0,185.0,1587.0,0.6935,336.0,395.0
18.0,1.0,645.0,525.0,0.19,1.8085,0.7035,0.3885,395.0
17.0,0.0,745.0,585.0,215.0,2499.0,0.9265,472.0,0.7
16.0,1.0,685.0,545.0,0.18,1768.0,0.7495,392.0,485.0
12.0,1.0,0.59,465.0,0.15,997.0,392.0,246.0,0.34
20.0,1.0,0.65,525.0,175.0,1.4225,0.61,0.2995,445.0
16.0,1.0,0.6,0.48,0.15,1029.0,0.4085,0.2705,295.0
12.0,1.0,0.62,0.5,175.0,1186.0,0.4985,0.3015,0.35
19.0,0.0,0.63,515.0,0.16,1016.0,0.4215,244.0,355.0
10.0,1.0,0.58,455.0,0.12,1.0735,479.0,0.2735,265.0
16.0,1.0,0.65,545.0,165.0,1566.0,0.6645,0.3455,415.0
16.0,1.0,0.66,565.0,195.0,1.7605,692.0,0.3265,0.5
19.0,1.0,0.68,0.58,0.2,1787.0,585.0,453.0,0.6
14.0,1.0,0.7,575.0,0.17,1.31,0.5095,314.0,0.42
20.0,1.0,675.0,545.0,195.0,1.7345,0.6845,0.3695,605.0
11.0,0.0,0.63,0.49,0.19,1.1775,0.4935,0.3365,285.0
10.0,1.0,585.0,0.45,0.16,1077.0,0.4995,0.2875,0.25
15.0,0.0,565.0,465.0,175.0,995.0,0.3895,183.0,0.37
12.0,1.0,0.61,495.0,185.0,1.1085,0.3705,0.3135,0.33
15.0,0.0,605.0,0.47,0.18,1.1405,0.3755,0.2805,385.0
10.0,0.0,535.0,0.42,145.0,791.0,0.33,189.0,0.25
10.0,0.0,485.0,0.4,135.0,663.0,313.0,137.0,0.2
10.0,0.0,545.0,425.0,135.0,0.8445,373.0,0.21,235.0
9.0,1.0,455.0,0.37,105.0,0.4925,216.0,0.1245,135.0
12.0,0.0,0.54,0.42,155.0,0.7385,0.3515,152.0,215.0
10.0,0.0,0.46,0.38,135.0,482.0,207.0,0.1225,145.0
14.0,0.0,0.49,0.42,125.0,609.0,239.0,0.1435,0.22
10.0,2.0,415.0,325.0,0.1,0.3215,0.1535,0.0595,105.0
10.0,0.0,475.0,375.0,125.0,593.0,277.0,115.0,0.18
10.0,1.0,0.47,375.0,125.0,0.5615,252.0,137.0,0.18
9.0,2.0,365.0,295.0,95.0,0.25,0.1075,0.0545,0.08
6.0,2.0,345.0,275.0,95.0,0.1995,0.0755,0.0535,0.07
11.0,2.0,0.39,0.31,0.1,302.0,116.0,64.0,115.0
10.0,1.0,0.5,395.0,0.14,0.7155,0.3165,176.0,0.24
8.0,0.0,0.47,0.38,145.0,0.5865,0.2385,144.0,185.0
12.0,0.0,535.0,0.44,0.15,0.6765,256.0,139.0,0.26
11.0,0.0,585.0,455.0,0.15,987.0,0.4355,0.2075,0.31
9.0,1.0,485.0,365.0,0.12,0.5885,0.27,131.0,175.0
9.0,0.0,515.0,455.0,135.0,0.7225,295.0,0.1625,235.0
10.0,1.0,515.0,415.0,0.14,0.6935,0.3115,152.0,0.2
7.0,2.0,0.44,345.0,0.12,365.0,0.1655,83.0,0.11
12.0,1.0,525.0,0.44,0.15,0.8425,0.3685,0.1985,0.24
16.0,0.0,0.59,485.0,0.12,911.0,0.39,182.0,0.29
11.0,0.0,555.0,0.45,145.0,915.0,0.4,246.0,285.0
8.0,0.0,0.57,0.44,95.0,827.0,0.3395,0.2215,235.0
15.0,0.0,0.59,0.5,165.0,1.1045,0.4565,0.2425,0.34
14.0,0.0,585.0,475.0,0.12,945.0,0.41,0.2115,0.28
12.0,0.0,545.0,0.44,0.12,0.8565,0.3475,0.1715,0.24
14.0,1.0,605.0,495.0,0.17,1.2385,528.0,0.2465,0.39
15.0,1.0,0.62,0.47,0.14,1.0325,0.3605,224.0,0.36
20.0,1.0,0.63,0.5,0.17,1.3135,0.5595,267.0,0.4
