0,1,2,3,4,5,6,7,8,9,10,11,12,13
13.1,1152.0,0.0,8.14,0.0,538.0,5701.0,95.0,3787.0,4.0,307.0,21.0,358.77,18.35
18.9,64.0,0.0,5.96,0.0,499.0,5933.0,68.2,3.36,5.0,279.0,19.2,396898.0,9.68
20.0,97.0,0.0,5.96,0.0,499.0,5841.0,61.4,3378.0,5.0,279.0,19.2,377559.0,11.41
21.0,0.08,0.0,5.96,0.0,499.0,5.85,41.5,3934.0,5.0,279.0,19.2,396898.0,8.77
24.7,175.0,0.0,5.96,0.0,499.0,5966.0,30.2,3847.0,5.0,279.0,19.2,393.43,10.13
30.8,28.0,75.0,2.95,0.0,428.0,6595.0,21.8,5401.0,3.0,252.0,18.3,395629.0,4.32
34.9,34.0,75.0,2.95,0.0,428.0,7024.0,15.8,5401.0,3.0,252.0,18.3,395619.0,1.98
26.6,127.0,0.0,6.91,0.0,448.0,6.77,2.9,5721.0,3.0,233.0,17.9,385408.0,4.84
21.2,123.0,0.0,6.91,0.0,448.0,6069.0,40.0,5721.0,3.0,233.0,17.9,389389.0,9.55
19.3,171.0,0.0,6.91,0.0,448.0,5682.0,33.8,5.1,3.0,233.0,17.9,396898.0,10.21
20.0,188.0,0.0,6.91,0.0,448.0,5786.0,33.3,5.1,3.0,233.0,17.9,396898.0,14.15
16.6,229.0,0.0,6.91,0.0,448.0,6.03,85.5,5689.0,3.0,233.0,17.9,392738.0,18.8
14.4,254.0,0.0,6.91,0.0,448.0,5399.0,95.3,5.87,3.0,233.0,17.9,396898.0,30.81
19.4,0.22,0.0,6.91,0.0,448.0,5602.0,62.0,6088.0,3.0,233.0,17.9,396898.0,16.2
19.7,89.0,21.0,5.64,0.0,439.0,5963.0,45.7,6815.0,4.0,243.0,16.8,395559.0,13.45
20.5,43.0,21.0,5.64,0.0,439.0,6115.0,63.0,6815.0,4.0,243.0,16.8,393969.0,9.43
25.0,54.0,21.0,5.64,0.0,439.0,6511.0,21.1,6815.0,4.0,243.0,16.8,396898.0,5.28
23.4,0.05,21.0,5.64,0.0,439.0,5998.0,21.4,6815.0,4.0,243.0,16.8,396898.0,8.43
18.9,14.0,75.0,4.0,0.0,0.41,5888.0,47.6,7.32,3.0,469.0,21.1,396898.0,14.8
35.4,13.0,90.0,1.22,0.0,403.0,7249.0,21.9,8697.0,5.0,226.0,17.9,395.93,4.81
24.7,21.0,85.0,0.74,0.0,0.41,6383.0,35.7,9188.0,2.0,313.0,17.3,396898.0,5.77
31.6,14.0,100.0,1.32,0.0,411.0,6816.0,40.5,8325.0,5.0,256.0,15.1,392898.0,3.95
23.3,154.0,25.0,5.13,0.0,453.0,6145.0,29.2,7815.0,8.0,284.0,19.7,390.68,6.86
19.6,103.0,25.0,5.13,0.0,453.0,5927.0,47.2,6932.0,8.0,284.0,19.7,396898.0,9.22
18.7,149.0,25.0,5.13,0.0,453.0,5741.0,66.2,7225.0,8.0,284.0,19.7,395109.0,13.15
16.0,172.0,25.0,5.13,0.0,453.0,5966.0,93.4,6818.0,8.0,284.0,19.7,378078.0,14.44
22.2,0.11,25.0,5.13,0.0,453.0,6456.0,67.8,7225.0,8.0,284.0,19.7,396898.0,6.73
25.0,126.0,25.0,5.13,0.0,453.0,6762.0,43.4,7981.0,8.0,284.0,19.7,395578.0,9.5
23.5,36.0,80.0,3.37,0.0,398.0,6.29,17.8,6611.0,4.0,337.0,16.1,396898.0,4.67
19.4,44.0,80.0,3.37,0.0,398.0,5787.0,31.1,6611.0,4.0,337.0,16.1,396898.0,10.24
22.0,58.0,12.5,6.07,0.0,409.0,5878.0,21.4,6498.0,4.0,345.0,18.9,396209.0,8.1
17.4,136.0,12.5,6.07,0.0,409.0,5594.0,36.8,6498.0,4.0,345.0,18.9,396898.0,13.09
20.9,128.0,12.5,6.07,0.0,409.0,5885.0,33.0,6498.0,4.0,345.0,18.9,396898.0,8.79
24.2,88.0,0.0,10.81,0.0,413.0,6417.0,6.6,5287.0,4.0,305.0,19.2,383729.0,6.72
21.7,159.0,0.0,10.81,0.0,413.0,5961.0,17.5,5287.0,4.0,305.0,19.2,376939.0,9.88
22.8,92.0,0.0,10.81,0.0,413.0,6065.0,7.8,5287.0,4.0,305.0,19.2,390908.0,5.52
23.4,195.0,0.0,10.81,0.0,413.0,6245.0,6.2,5287.0,4.0,305.0,19.2,377.17,7.54
24.1,79.0,0.0,12.83,0.0,437.0,6273.0,6.0,4251.0,5.0,398.0,18.7,394.92,6.78
21.4,95.0,0.0,12.83,0.0,437.0,6286.0,45.0,4503.0,5.0,398.0,18.7,383229.0,8.94
20.0,102.0,0.0,12.83,0.0,437.0,6279.0,74.5,4052.0,5.0,398.0,18.7,373658.0,11.97
20.8,87.0,0.0,12.83,0.0,437.0,6.14,45.8,4.09,5.0,398.0,18.7,386959.0,10.27
21.2,56.0,0.0,12.83,0.0,437.0,6232.0,53.7,5014.0,5.0,398.0,18.7,386398.0,12.34
20.3,84.0,0.0,12.83,0.0,437.0,5874.0,36.6,4503.0,5.0,398.0,18.7,396059.0,9.1
28.0,41.0,25.0,4.86,0.0,426.0,6727.0,33.5,5401.0,4.0,281.0,19.0,396898.0,5.29
23.9,45.0,25.0,4.86,0.0,426.0,6619.0,70.4,5401.0,4.0,281.0,19.0,395629.0,7.22
24.8,37.0,25.0,4.86,0.0,426.0,6302.0,32.2,5401.0,4.0,281.0,19.0,396898.0,6.72
22.9,36.0,25.0,4.86,0.0,426.0,6167.0,46.7,5401.0,4.0,281.0,19.0,390639.0,7.51
23.9,51.0,0.0,4.49,0.0,449.0,6389.0,48.0,4779.0,3.0,247.0,18.5,396898.0,9.62
26.6,57.0,0.0,4.49,0.0,449.0,6.63,56.1,4438.0,3.0,247.0,18.5,392299.0,6.53
22.5,52.0,0.0,4.49,0.0,449.0,6015.0,45.1,4427.0,3.0,247.0,18.5,395988.0,12.86
22.2,72.0,0.0,4.49,0.0,449.0,6121.0,56.8,3748.0,3.0,247.0,18.5,395148.0,8.44
23.6,57.0,0.0,3.41,0.0,489.0,7007.0,86.3,3422.0,2.0,270.0,17.8,396898.0,5.5
22.6,47.0,0.0,3.41,0.0,489.0,6417.0,66.1,3092.0,2.0,270.0,17.8,392.18,8.81
22.0,39.0,0.0,3.41,0.0,489.0,6405.0,73.9,3092.0,2.0,270.0,17.8,393549.0,8.2
25.0,29.0,28.0,15.04,0.0,464.0,6211.0,28.9,3666.0,4.0,270.0,18.2,396328.0,6.21
21.4,115.0,0.0,2.89,0.0,445.0,6163.0,69.6,3495.0,2.0,276.0,18.0,391828.0,11.34
38.7,121.0,0.0,2.89,0.0,445.0,8069.0,76.0,3495.0,2.0,276.0,18.0,396898.0,4.21
43.8,82.0,0.0,2.89,0.0,445.0,7.82,36.9,3495.0,2.0,276.0,18.0,393529.0,3.57
33.2,69.0,0.0,2.89,0.0,445.0,7416.0,62.5,3495.0,2.0,276.0,18.0,396898.0,6.19
26.5,114.0,0.0,8.56,0.0,0.52,6781.0,71.3,2856.0,5.0,384.0,20.9,395578.0,7.67
18.6,229.0,0.0,8.56,0.0,0.52,6405.0,85.4,2715.0,5.0,384.0,20.9,70.8,10.63
19.3,212.0,0.0,8.56,0.0,0.52,6137.0,87.4,2715.0,5.0,384.0,20.9,394469.0,13.44
20.1,0.14,0.0,8.56,0.0,0.52,6167.0,90.0,2421.0,5.0,384.0,20.9,392689.0,12.33
19.5,133.0,0.0,8.56,0.0,0.52,5851.0,96.7,2107.0,5.0,384.0,20.9,394049.0,16.47
19.5,171.0,0.0,8.56,0.0,0.52,5836.0,91.9,2211.0,5.0,384.0,20.9,395.67,18.66
20.4,131.0,0.0,8.56,0.0,0.52,6127.0,85.2,2122.0,5.0,384.0,20.9,387689.0,14.09
19.8,128.0,0.0,8.56,0.0,0.52,6474.0,97.1,2433.0,5.0,384.0,20.9,395238.0,12.27
19.4,264.0,0.0,8.56,0.0,0.52,6229.0,91.2,2545.0,5.0,384.0,20.9,391229.0,15.55
21.7,108.0,0.0,8.56,0.0,0.52,6195.0,54.4,2778.0,5.0,384.0,20.9,393488.0,13.0
22.8,101.0,0.0,10.01,0.0,547.0,6715.0,81.6,2677.0,6.0,432.0,17.8,395.59,10.16
18.8,123.0,0.0,10.01,0.0,547.0,5913.0,92.9,2353.0,6.0,432.0,17.8,394949.0,16.21
18.7,222.0,0.0,10.01,0.0,547.0,6092.0,95.4,2548.0,6.0,432.0,17.8,396898.0,17.09
18.5,142.0,0.0,10.01,0.0,547.0,6254.0,84.2,2256.0,6.0,432.0,17.8,388738.0,10.45
18.3,171.0,0.0,10.01,0.0,547.0,5928.0,88.2,2463.0,6.0,432.0,17.8,344908.0,15.76
21.2,132.0,0.0,10.01,0.0,547.0,6176.0,72.5,2.73,6.0,432.0,17.8,393299.0,12.04
19.2,151.0,0.0,10.01,0.0,547.0,6021.0,82.6,2747.0,6.0,432.0,17.8,394.51,10.3
20.4,131.0,0.0,10.01,0.0,547.0,5872.0,73.1,2477.0,6.0,432.0,17.8,338629.0,15.37
19.3,145.0,0.0,10.01,0.0,547.0,5731.0,65.2,2759.0,6.0,432.0,17.8,391.5,13.61
22.0,69.0,0.0,25.65,0.0,581.0,5.87,69.7,2258.0,2.0,188.0,19.1,389148.0,14.37
20.3,72.0,0.0,25.65,0.0,581.0,6004.0,84.1,2197.0,2.0,188.0,19.1,377.67,14.27
20.5,93.0,0.0,25.65,0.0,581.0,5961.0,92.9,2087.0,2.0,188.0,19.1,378.09,17.93
17.3,0.15,0.0,25.65,0.0,581.0,5856.0,97.0,1944.0,2.0,188.0,19.1,370309.0,25.41
18.8,98.0,0.0,25.65,0.0,581.0,5879.0,95.8,2006.0,2.0,188.0,19.1,379379.0,17.58
21.4,169.0,0.0,25.65,0.0,581.0,5986.0,88.4,1993.0,2.0,188.0,19.1,385.02,14.81
15.7,387.0,0.0,25.65,0.0,581.0,5613.0,95.6,1757.0,2.0,188.0,19.1,359289.0,27.26
16.2,259.0,0.0,21.89,0.0,624.0,5693.0,96.0,1788.0,4.0,437.0,21.2,392109.0,17.19
18.0,325.0,0.0,21.89,0.0,624.0,6431.0,98.8,1812.0,4.0,437.0,21.2,396898.0,15.39
14.3,881.0,0.0,21.89,0.0,624.0,5637.0,94.7,1.98,4.0,437.0,21.2,396898.0,18.34
19.2,0.34,0.0,21.89,0.0,624.0,6458.0,98.9,2118.0,4.0,437.0,21.2,395039.0,12.6
19.6,1193.0,0.0,21.89,0.0,624.0,6326.0,97.7,2271.0,4.0,437.0,21.2,396898.0,12.26
23.0,0.59,0.0,21.89,0.0,624.0,6372.0,97.9,2327.0,4.0,437.0,21.2,385.76,11.12
18.4,0.33,0.0,21.89,0.0,624.0,5822.0,95.4,2.47,4.0,437.0,21.2,388689.0,15.03
15.6,976.0,0.0,21.89,0.0,624.0,5757.0,98.4,2346.0,4.0,437.0,21.2,262.76,17.31
18.1,558.0,0.0,21.89,0.0,624.0,6335.0,98.2,2111.0,4.0,437.0,21.2,394.67,16.96
17.4,323.0,0.0,21.89,0.0,624.0,5942.0,93.5,1967.0,4.0,437.0,21.2,378.25,16.9
17.1,352.0,0.0,21.89,0.0,624.0,6454.0,98.4,1.85,4.0,437.0,21.2,394078.0,14.59
13.3,0.25,0.0,21.89,0.0,624.0,5857.0,98.2,1669.0,4.0,437.0,21.2,392039.0,21.32
17.8,545.0,0.0,21.89,0.0,624.0,6151.0,97.9,1669.0,4.0,437.0,21.2,396898.0,18.46
14.0,291.0,0.0,21.89,0.0,624.0,6174.0,93.6,1612.0,4.0,437.0,21.2,388078.0,24.16
14.4,1629.0,0.0,21.89,0.0,624.0,5019.0,100.0,1439.0,4.0,437.0,21.2,396898.0,34.41
13.4,3321.0,0.0,19.58,1.0,871.0,5403.0,100.0,1322.0,5.0,403.0,14.7,396898.0,26.82
15.6,4097.0,0.0,19.58,0.0,871.0,5468.0,100.0,1412.0,5.0,403.0,14.7,396898.0,26.42
11.8,2.78,0.0,19.58,0.0,871.0,4903.0,97.8,1346.0,5.0,403.0,14.7,396898.0,29.29
13.8,2379.0,0.0,19.58,0.0,871.0,6.13,100.0,1419.0,5.0,403.0,14.7,172909.0,27.8
15.6,2155.0,0.0,19.58,0.0,871.0,5628.0,100.0,1517.0,5.0,403.0,14.7,169.27,16.65
14.6,2369.0,0.0,19.58,0.0,871.0,4926.0,95.7,1461.0,5.0,403.0,14.7,391709.0,29.53
17.8,2331.0,0.0,19.58,0.0,871.0,5186.0,93.8,1.53,5.0,403.0,14.7,356988.0,28.32
15.4,2734.0,0.0,19.58,0.0,871.0,5597.0,94.9,1526.0,5.0,403.0,14.7,351.85,21.45
21.5,1657.0,0.0,19.58,0.0,871.0,6122.0,97.3,1618.0,5.0,403.0,14.7,372799.0,14.1
15.3,1127.0,0.0,19.58,1.0,871.0,5012.0,88.0,1.61,5.0,403.0,14.7,343279.0,12.12
19.4,2149.0,0.0,19.58,0.0,871.0,5709.0,98.5,1623.0,5.0,403.0,14.7,261949.0,15.79
17.0,1414.0,0.0,19.58,1.0,871.0,6129.0,96.0,1749.0,5.0,403.0,14.7,321.02,15.12
15.6,3535.0,0.0,19.58,1.0,871.0,6152.0,82.6,1745.0,5.0,403.0,14.7,88.01,15.02
13.1,2447.0,0.0,19.58,0.0,871.0,5272.0,94.0,1736.0,5.0,403.0,14.7,88.63,16.14
41.3,1224.0,0.0,19.58,0.0,605.0,6943.0,97.4,1877.0,5.0,403.0,14.7,363.43,4.59
24.3,1343.0,0.0,19.58,0.0,605.0,6066.0,100.0,1757.0,5.0,403.0,14.7,353889.0,6.43
27.0,1273.0,0.0,19.58,1.0,605.0,6.25,92.6,1798.0,5.0,403.0,14.7,338.92,5.5
50.0,1463.0,0.0,19.58,0.0,605.0,7489.0,90.8,1971.0,5.0,403.0,14.7,374.43,1.73
50.0,1519.0,0.0,19.58,1.0,605.0,8375.0,93.9,2162.0,5.0,403.0,14.7,388449.0,3.32
22.7,2242.0,0.0,19.58,0.0,605.0,5854.0,91.8,2422.0,5.0,403.0,14.7,395109.0,11.64
25.0,2924.0,0.0,19.58,0.0,605.0,6101.0,93.0,2283.0,5.0,403.0,14.7,240159.0,9.81
50.0,2.01,0.0,19.58,0.0,605.0,7929.0,96.2,2046.0,5.0,403.0,14.7,369299.0,3.7
23.8,2.3,0.0,19.58,0.0,605.0,6319.0,96.1,2.1,5.0,403.0,14.7,297.09,11.1
22.3,2.45,0.0,19.58,0.0,605.0,6402.0,95.2,2262.0,5.0,403.0,14.7,330039.0,11.32
17.4,1207.0,0.0,19.58,0.0,605.0,5875.0,94.6,2426.0,5.0,403.0,14.7,292289.0,14.43
19.1,2314.0,0.0,19.58,0.0,605.0,5.88,97.3,2389.0,5.0,403.0,14.7,348129.0,12.03
23.1,139.0,0.0,4.05,0.0,0.51,5572.0,88.5,2596.0,5.0,296.0,16.6,396898.0,14.69
23.6,92.0,0.0,4.05,0.0,0.51,6416.0,84.1,2646.0,5.0,296.0,16.6,395.5,9.04
22.6,84.0,0.0,4.05,0.0,0.51,5859.0,68.7,2702.0,5.0,296.0,16.6,393229.0,9.64
29.4,67.0,0.0,4.05,0.0,0.51,6546.0,33.1,3132.0,5.0,296.0,16.6,390959.0,5.33
23.2,0.07,0.0,4.05,0.0,0.51,6.02,47.2,3555.0,5.0,296.0,16.6,393229.0,10.11
37.2,58.0,0.0,2.46,0.0,488.0,6.98,58.4,2829.0,3.0,193.0,17.8,396898.0,5.04
39.8,66.0,0.0,2.46,0.0,488.0,7765.0,83.3,2741.0,3.0,193.0,17.8,395559.0,7.56
36.2,69.0,0.0,2.46,0.0,488.0,6144.0,62.2,2598.0,3.0,193.0,17.8,396898.0,9.45
37.9,91.0,0.0,2.46,0.0,488.0,7155.0,92.2,2701.0,3.0,193.0,17.8,394119.0,4.82
32.5,0.1,0.0,2.46,0.0,488.0,6563.0,95.6,2847.0,3.0,193.0,17.8,396898.0,5.68
26.4,83.0,0.0,2.46,0.0,488.0,5604.0,89.8,2988.0,3.0,193.0,17.8,391.0,13.98
29.6,0.06,0.0,2.46,0.0,488.0,6153.0,68.8,3.28,3.0,193.0,17.8,387109.0,13.15
50.0,56.0,0.0,2.46,0.0,488.0,7831.0,53.6,3199.0,3.0,193.0,17.8,392629.0,4.45
32.0,79.0,45.0,3.44,0.0,437.0,6782.0,41.1,3789.0,5.0,398.0,15.2,393869.0,6.68
29.8,126.0,45.0,3.44,0.0,437.0,6556.0,29.1,4567.0,5.0,398.0,15.2,382.84,4.56
34.9,84.0,45.0,3.44,0.0,437.0,7185.0,38.9,4567.0,5.0,398.0,15.2,396898.0,5.39
37.0,91.0,45.0,3.44,0.0,437.0,6951.0,21.5,6.48,5.0,398.0,15.2,377.68,5.1
30.5,69.0,45.0,3.44,0.0,437.0,6739.0,30.8,6.48,5.0,398.0,15.2,389709.0,4.69
36.4,87.0,45.0,3.44,0.0,437.0,7178.0,26.3,6.48,5.0,398.0,15.2,390488.0,2.87
31.1,22.0,60.0,2.93,0.0,401.0,6.8,9.9,6.22,1.0,265.0,15.6,393369.0,5.03
29.1,14.0,60.0,2.93,0.0,401.0,6604.0,18.8,6.22,1.0,265.0,15.6,376699.0,4.38
50.0,14.0,80.0,0.46,0.0,422.0,7875.0,32.0,5648.0,4.0,255.0,14.4,394229.0,2.97
33.3,0.04,80.0,1.52,0.0,404.0,7287.0,34.1,7309.0,2.0,329.0,12.6,396898.0,4.08
30.3,47.0,80.0,1.52,0.0,404.0,7107.0,36.6,7309.0,2.0,329.0,12.6,354309.0,8.61
34.6,38.0,80.0,1.52,0.0,404.0,7274.0,38.3,7309.0,2.0,329.0,12.6,392199.0,6.62
34.9,31.0,95.0,1.47,0.0,403.0,6975.0,15.3,7653.0,3.0,402.0,17.0,396898.0,4.56
32.9,18.0,95.0,1.47,0.0,403.0,7135.0,13.9,7653.0,3.0,402.0,17.0,384299.0,4.45
24.1,34.0,82.5,2.03,0.0,415.0,6162.0,38.4,6.27,2.0,348.0,14.7,393.77,7.43
42.3,22.0,82.5,2.03,0.0,415.0,7.61,15.7,6.27,2.0,348.0,14.7,395379.0,3.11
48.5,35.0,95.0,2.68,0.0,416.0,7853.0,33.2,5118.0,4.0,224.0,14.7,392779.0,3.81
50.0,0.02,95.0,2.68,0.0,416.0,8034.0,31.9,5118.0,4.0,224.0,14.7,390549.0,2.88
22.6,136.0,0.0,10.59,0.0,489.0,5891.0,22.3,3945.0,4.0,277.0,18.6,396898.0,10.87
24.4,0.23,0.0,10.59,0.0,489.0,6326.0,52.5,4355.0,4.0,277.0,18.6,394869.0,10.97
22.5,252.0,0.0,10.59,0.0,489.0,5783.0,72.7,4355.0,4.0,277.0,18.6,389.43,18.06
24.4,136.0,0.0,10.59,1.0,489.0,6064.0,59.1,4239.0,4.0,277.0,18.6,381318.0,14.66
20.0,436.0,0.0,10.59,1.0,489.0,5344.0,100.0,3875.0,4.0,277.0,18.6,396898.0,23.09
21.7,174.0,0.0,10.59,1.0,489.0,5.96,92.1,3877.0,4.0,277.0,18.6,393.25,17.27
19.3,376.0,0.0,10.59,1.0,489.0,5404.0,88.6,3665.0,4.0,277.0,18.6,395238.0,23.98
22.4,217.0,0.0,10.59,1.0,489.0,5807.0,53.8,3653.0,4.0,277.0,18.6,390939.0,16.03
28.1,141.0,0.0,10.59,0.0,489.0,6375.0,32.3,3945.0,4.0,277.0,18.6,385809.0,9.38
25.0,198.0,0.0,10.59,0.0,489.0,6182.0,42.4,3945.0,4.0,277.0,18.6,393629.0,9.47
23.3,46.0,0.0,13.89,1.0,0.55,5888.0,56.0,3112.0,5.0,276.0,16.4,392799.0,13.51
28.7,0.07,0.0,13.89,0.0,0.55,6642.0,85.1,3421.0,5.0,276.0,16.4,392779.0,9.69
21.5,111.0,0.0,13.89,1.0,0.55,5951.0,93.8,2889.0,5.0,276.0,16.4,396898.0,17.92
23.0,114.0,0.0,13.89,1.0,0.55,6373.0,92.4,3363.0,5.0,276.0,16.4,393738.0,10.5
26.7,358.0,0.0,6.2,1.0,507.0,6951.0,88.5,2862.0,8.0,307.0,17.4,391699.0,9.71
21.7,408.0,0.0,6.2,1.0,507.0,6164.0,91.3,3048.0,8.0,307.0,17.4,395238.0,21.46
27.5,624.0,0.0,6.2,1.0,507.0,6879.0,77.7,3272.0,8.0,307.0,17.4,390389.0,9.93
30.1,615.0,0.0,6.2,0.0,507.0,6618.0,80.8,3272.0,8.0,307.0,17.4,396898.0,7.6
44.8,315.0,0.0,6.2,0.0,504.0,8266.0,78.3,2894.0,8.0,307.0,17.4,385049.0,4.14
50.0,527.0,0.0,6.2,0.0,504.0,8725.0,83.0,2894.0,8.0,307.0,17.4,382.0,4.63
37.6,382.0,0.0,6.2,0.0,504.0,8.04,86.5,3216.0,8.0,307.0,17.4,387379.0,3.13
31.6,412.0,0.0,6.2,0.0,504.0,7163.0,79.9,3216.0,8.0,307.0,17.4,372078.0,6.36
46.7,298.0,0.0,6.2,0.0,504.0,7686.0,17.0,3375.0,8.0,307.0,17.4,377.51,3.92
31.5,442.0,0.0,6.2,0.0,504.0,6552.0,21.4,3375.0,8.0,307.0,17.4,380.34,3.76
24.3,537.0,0.0,6.2,0.0,504.0,5981.0,68.1,3671.0,8.0,307.0,17.4,378.35,11.65
31.7,463.0,0.0,6.2,0.0,504.0,7412.0,76.9,3671.0,8.0,307.0,17.4,376139.0,5.25
41.7,575.0,0.0,6.2,0.0,507.0,8337.0,73.3,3838.0,8.0,307.0,17.4,385908.0,2.47
48.3,331.0,0.0,6.2,0.0,507.0,8247.0,70.4,3652.0,8.0,307.0,17.4,378949.0,3.95
29.0,448.0,0.0,6.2,1.0,507.0,6726.0,66.5,3652.0,8.0,307.0,17.4,360199.0,8.05
24.0,0.33,0.0,6.2,0.0,507.0,6086.0,61.5,3652.0,8.0,307.0,17.4,376.75,10.88
25.1,521.0,0.0,6.2,1.0,507.0,6631.0,76.5,4148.0,8.0,307.0,17.4,388449.0,9.54
31.5,512.0,0.0,6.2,0.0,507.0,7358.0,71.6,4148.0,8.0,307.0,17.4,390068.0,4.73
23.7,82.0,30.0,4.93,0.0,428.0,6481.0,18.5,6.19,6.0,300.0,16.6,379408.0,6.36
23.3,93.0,30.0,4.93,0.0,428.0,6606.0,42.2,6.19,6.0,300.0,16.6,383779.0,7.37
22.0,113.0,30.0,4.93,0.0,428.0,6897.0,54.3,6336.0,6.0,300.0,16.6,391.25,11.38
22.2,103.0,30.0,4.93,0.0,428.0,6358.0,52.9,7035.0,6.0,300.0,16.6,372.75,11.22
23.7,128.0,30.0,4.93,0.0,428.0,6393.0,7.8,7035.0,6.0,300.0,16.6,374709.0,5.19
17.6,206.0,22.0,5.86,0.0,431.0,5593.0,76.5,7955.0,7.0,330.0,19.1,372488.0,12.5
18.5,191.0,22.0,5.86,0.0,431.0,5605.0,70.2,7955.0,7.0,330.0,19.1,389129.0,18.46
20.5,197.0,22.0,5.86,0.0,431.0,6226.0,79.2,8055.0,7.0,330.0,19.1,376139.0,10.15
24.5,164.0,22.0,5.86,0.0,431.0,6433.0,49.1,7826.0,7.0,330.0,19.1,374709.0,9.52
26.2,191.0,22.0,5.86,0.0,431.0,6718.0,17.5,7826.0,7.0,330.0,19.1,393738.0,6.56
24.4,0.14,22.0,5.86,0.0,431.0,6487.0,13.0,7397.0,7.0,330.0,19.1,396279.0,5.9
24.8,214.0,22.0,5.86,0.0,431.0,6438.0,8.9,7397.0,7.0,330.0,19.1,377068.0,3.59
42.8,369.0,22.0,5.86,0.0,431.0,8259.0,8.4,8907.0,7.0,330.0,19.1,396898.0,3.54
21.9,48.0,80.0,3.64,0.0,392.0,6108.0,32.0,9.22,1.0,315.0,16.4,392889.0,6.57
20.9,35.0,80.0,3.64,0.0,392.0,5876.0,19.1,9.22,1.0,315.0,16.4,395.18,9.25
36.0,664.0,20.0,3.97,0.0,647.0,7333.0,100.0,1895.0,5.0,264.0,13.0,383289.0,7.79
30.1,657.0,20.0,3.97,0.0,647.0,6842.0,100.0,2011.0,5.0,264.0,13.0,391.93,6.9
33.8,0.54,20.0,3.97,0.0,647.0,7203.0,81.8,2112.0,5.0,264.0,13.0,392799.0,9.59
43.1,534.0,20.0,3.97,0.0,647.0,7.52,89.4,2.14,5.0,264.0,13.0,388369.0,7.26
